NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
30 VER,Rafael Delgado,  Rafael Delgado,819,802,322,100,97.82608696,1.904761905,98.73015873,9.841269841,1.552795031,1.242236025,0,0,25,75,0.931677019,0.310559006
30 VER,Rafael Lucio,  Rafael Lucio,183,147,4,100,25,0,100,0,50,0,0,0,0,0,50,25
30 VER,Los Reyes,  Los Reyes,970,958,7,100,57.14285714,25,100,0,28.57142857,28.57142857,0,0,0,100,0,0
30 VER,Río Blanco,  Río Blanco,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,Saltabarranca,  Saltabarranca,635,497,1,100,100,100,0,0,0,100,0,0,0,100,0,0
30 VER,San Andrés Tenejapan,  San Andrés Tenejapan,153,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,San Andrés Tuxtla,  San Andrés Tuxtla,8108,7214,57,96.49122807,41.81818182,13.04347826,78.26086957,8.695652174,29.09090909,38.18181818,0,0,71.42857143,57.14285714,7.272727273,9.090909091
30 VER,San Juan Evangelista,  San Juan Evangelista,4215,3051,39,100,25.64102564,0,30,70,30.76923077,51.28205128,0,5,10,85,38.46153846,10.25641026
30 VER,Santiago Tuxtla,  Santiago Tuxtla,4910,4083,3,100,66.66666667,50,50,50,33.33333333,33.33333333,0,0,0,100,0,0
30 VER,Sayula de Alemán,  Sayula De Alemán,2085,1713,6,100,0,0,0,0,83.33333333,66.66666667,0,0,50,50,16.66666667,16.66666667
30 VER,Soconusco,  Soconusco,663,625,5,100,40,100,0,0,0,0,0,0,0,0,100,0
30 VER,Sochiapa,  Sochiapa,455,452,2,100,50,100,0,0,50,0,0,0,0,0,50,0
30 VER,Soledad Atzompa,  Soledad Atzompa,2787,2645,65,100,87.69230769,0,96.49122807,5.263157895,3.076923077,9.230769231,0,0,0,100,1.538461538,4.615384615
30 VER,Soledad de Doblado,  Soledad De Doblado,2372,2270,685,95.62043796,45.49618321,1.677852349,71.1409396,29.19463087,17.55725191,26.25954198,0.581395349,0.581395349,45.93023256,60.46511628,29.92366412,3.053435115
30 VER,Soteapan,  Soteapan,5427,5381,2,100,0,0,0,0,50,50,0,0,100,0,50,0
30 VER,Tamalín,  Tamalín,920,802,3,100,0,0,0,0,66.66666667,66.66666667,0,0,0,100,0,33.33333333
30 VER,Tamiahua,  Tamiahua,2517,2115,67,100,32.8358209,9.090909091,90.90909091,4.545454545,1.492537313,1.492537313,0,0,0,100,2.985074627,89.55223881
30 VER,Tampico Alto,  Tampico Alto,1676,1259,32,100,50,12.5,37.5,56.25,21.875,21.875,0,0,42.85714286,57.14285714,15.625,18.75
